Design,Initial_Area,Initial_Delay,Initial_QoR,Recipe,Tool1,Tool2,Tool3,Tool4,Tool5,Tool6,Tool7,Tool8,Tool9,Tool10,Tool11,Tool12,Tool13,Tool14,Tool15,Tool16,Tool17,Tool18,Tool19,Tool20,Final_Area,Final_Delay,Final_QoR
simple_spi_orig.bench,613.13,185.99,113405,"b;st;rw;rwz;st;rw;rf;rs;b;st;rwz;b;rfz;rfz;rw;rwz;b;rf;rfz;rs",1,5,2,6,5,2,3,4,1,5,6,1,8,8,2,6,1,3,8,4,578.38,184.87,106352
simple_spi_orig.bench,613.13,185.99,113405,"st;st;rs;rw;f;rw;rw;f;rw;rwz;rw;rfz;st;f;rwz;rfz;rwz;b;rw;f",5,5,4,2,7,2,2,7,2,6,2,8,5,7,6,8,6,1,2,7,539.45,176.65,94864
simple_spi_orig.bench,613.13,185.99,113405,"b;st;f;rwz;b;rf;rw;rf;rs;rw;rfz;rwz;rf;rwz;rf;rfz;rs;rfz;rw;f",1,5,7,6,1,3,2,3,4,2,8,6,3,6,3,8,4,8,2,7,562.43,184.34,103408
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;rfz;rfz;rw;st;b;rwz;st;rf;st;rwz;rw;rs;b;rwz;f;b;rwz;rw",1,6,8,8,2,5,1,6,5,3,5,6,2,4,1,6,7,1,6,2,566.34,180.87,101880
simple_spi_orig.bench,613.13,185.99,113405,"st;rw;b;rs;rwz;f;rfz;b;b;rw;f;st;rw;rs;rfz;rf;rfz;rwz;rwz;b",5,2,1,4,6,7,8,1,1,2,7,5,2,4,8,3,8,6,6,1,531.84,185.97,98235
simple_spi_orig.bench,613.13,185.99,113405,"st;rs;f;b;st;f;f;f;rwz;rf;rs;rwz;rf;rw;rwz;b;rs;rs;b;rf",5,4,7,1,5,7,7,7,6,3,4,6,3,2,6,1,4,4,1,3,530.51,184.64,97520
simple_spi_orig.bench,613.13,185.99,113405,"st;rwz;b;st;rwz;rfz;st;rwz;st;rs;f;rw;st;rf;rfz;rw;f;rw;rf;rf",5,6,1,5,6,8,5,6,5,4,7,2,5,3,8,2,7,2,3,3,572.40,180.26,102960
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;rwz;b;rwz;st;rfz;f;rwz;f;rf;rwz;f;st;rwz;rfz;rwz;f;b;st",1,8,6,1,6,5,8,7,6,7,3,6,7,5,6,8,6,7,1,5,537.98,195.52,104715
simple_spi_orig.bench,613.13,185.99,113405,"b;rw;rw;rwz;b;rw;f;rf;rf;rs;rfz;rs;rs;rfz;rf;st;b;st;rfz;rwz",1,2,2,6,1,2,7,3,3,4,8,4,4,8,3,5,1,5,8,6,564.31,185.97,104340
simple_spi_orig.bench,613.13,185.99,113405,"st;rf;rw;rw;rfz;rs;rw;rf;rwz;rw;st;rs;b;st;rwz;f;rf;st;rfz;b",5,3,2,2,8,4,2,3,6,2,5,4,1,5,6,7,3,5,8,1,564.00,203.04,114492
simple_spi_orig.bench,613.13,185.99,113405,"st;rfz;rwz;f;f;rw;f;rs;rs;rw;st;rs;rf;rw;f;st;st;rfz;st;st",5,8,6,7,7,2,7,4,4,2,5,4,3,2,7,5,5,8,5,5,563.43,200.18,112600
simple_spi_orig.bench,613.13,185.99,113405,"st;f;rw;f;b;f;st;b;f;rf;rwz;rwz;b;rfz;rw;st;rs;st;rw;rwz",5,7,2,7,1,7,5,1,7,3,6,6,1,8,2,5,4,5,2,6,551.33,185.97,101935
simple_spi_orig.bench,613.13,185.99,113405,"st;rf;rs;rfz;b;rf;f;st;rf;rfz;rfz;rw;b;st;b;st;rw;rwz;rf;rf",5,3,4,8,1,3,7,5,3,8,8,2,1,5,1,5,2,6,3,3,536.97,200.52,107200
simple_spi_orig.bench,613.13,185.99,113405,"st;rwz;st;rfz;rwz;st;rw;rf;rw;rwz;st;rf;f;rf;rwz;rfz;b;rwz;rs;rs",5,6,5,8,6,5,2,3,2,6,5,3,7,3,6,8,1,6,4,4,550.82,180.87,99000
simple_spi_orig.bench,613.13,185.99,113405,"b;rf;rwz;rs;rs;rf;f;f;st;b;rw;f;rs;rw;rfz;rw;b;rf;f;rw",1,3,6,4,4,3,7,7,5,1,2,7,4,2,8,2,1,3,7,2,562.97,203.11,114086
simple_spi_orig.bench,613.13,185.99,113405,"b;rs;rf;rwz;f;rwz;st;rfz;rf;f;rw;rwz;rwz;rfz;f;rf;f;b;b;rw",1,4,3,6,7,6,5,8,3,7,2,6,6,8,7,3,7,1,1,2,563.18,185.97,104155
simple_spi_orig.bench,613.13,185.99,113405,"st;f;rs;b;rwz;rs;rf;f;rwz;rfz;rwz;rs;rw;rw;rwz;b;rs;rs;f;f",5,7,4,1,6,4,3,7,6,8,6,4,2,2,6,1,4,4,7,7,543.44,189.53,102627
simple_spi_orig.bench,613.13,185.99,113405,"b;rf;rwz;rs;rfz;b;st;rwz;b;f;st;rfz;rw;rs;f;b;rfz;b;st;st",1,3,6,4,8,1,5,6,1,7,5,8,2,4,7,1,8,1,5,5,557.10,203.11,113071
simple_spi_orig.bench,613.13,185.99,113405,"b;rw;st;f;st;rf;rfz;rw;f;f;rwz;st;rw;b;rs;rw;rwz;b;b;rs",1,2,5,7,5,3,8,2,7,7,6,5,2,1,4,2,6,1,1,4,527.68,185.97,97495
simple_spi_orig.bench,613.13,185.99,113405,"b;b;st;b;rs;rwz;b;rs;rf;rfz;st;rfz;f;st;b;rf;rf;f;rfz;rs",1,1,5,1,4,6,1,4,3,8,5,8,7,5,1,3,3,7,8,4,559.93,185.97,103415
simple_spi_orig.bench,613.13,185.99,113405,"st;rf;b;rw;rw;st;rf;rs;rw;rwz;f;st;f;st;rs;rfz;st;st;st;rf",5,3,1,2,2,5,3,4,2,6,7,5,7,5,4,8,5,5,5,3,558.21,201.86,112158
simple_spi_orig.bench,613.13,185.99,113405,"st;rwz;rf;st;rwz;b;rwz;f;rs;rw;rw;rfz;f;rw;st;b;rfz;rw;rf;rw",5,6,3,5,6,1,6,7,4,2,2,8,7,2,5,1,8,2,3,2,567.12,180.59,102060
simple_spi_orig.bench,613.13,185.99,113405,"b;b;rw;rwz;rf;f;rw;f;st;f;b;rfz;rwz;st;rwz;rs;rw;rs;b;rw",1,1,2,6,3,7,2,7,5,7,1,8,6,5,6,4,2,4,1,2,563.35,179.08,100777
simple_spi_orig.bench,613.13,185.99,113405,"b;f;rf;b;b;rw;rf;rw;rfz;rf;rwz;rwz;b;b;st;rfz;st;b;b;rfz",1,7,3,1,1,2,3,2,8,3,6,6,1,1,5,8,5,1,1,8,543.32,199.34,108057
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;rwz;rs;rw;rf;rfz;rfz;rwz;rs;rfz;rwz;rwz;rw;rw;rw;rs;rs;rw;rw",1,8,6,4,2,3,8,8,6,4,8,6,6,2,2,2,4,4,2,2,537.71,187.89,100419
simple_spi_orig.bench,613.13,185.99,113405,"st;rf;rwz;rfz;rwz;rs;rs;rs;rw;st;rf;rs;rf;rfz;rf;f;rwz;b;rwz;rfz",5,3,6,8,6,4,4,4,2,5,3,4,3,8,3,7,6,1,6,8,566.07,198.45,112068
simple_spi_orig.bench,613.13,185.99,113405,"b;rw;rwz;rfz;f;st;rwz;st;f;st;rfz;rs;rwz;f;rfz;rs;rwz;rw;b;rfz",1,2,6,8,7,5,6,5,7,5,8,4,6,7,8,4,6,2,1,8,566.99,182.38,103012
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;f;rw;rwz;rf;rw;f;rs;st;rs;rs;rfz;rs;rfz;rfz;st;rw;rwz;st",1,6,7,2,6,3,2,7,4,5,4,4,8,4,8,8,5,2,6,5,539.23,200.71,107800
simple_spi_orig.bench,613.13,185.99,113405,"b;rw;rf;rf;b;st;rfz;f;rs;rwz;f;st;rs;st;rfz;b;b;rwz;b;rf",1,2,3,3,1,5,8,7,4,6,7,5,4,5,8,1,1,6,1,3,529.28,189.41,99981
simple_spi_orig.bench,613.13,185.99,113405,"b;b;rfz;st;st;f;rwz;f;rf;f;rw;rfz;st;rf;rwz;f;b;rwz;rw;rfz",1,1,8,5,5,7,6,7,3,7,2,8,5,3,6,7,1,6,2,8,555.84,190.78,105450
simple_spi_orig.bench,613.13,185.99,113405,"b;b;rs;rw;st;f;f;f;rs;st;rfz;rs;f;rwz;st;rwz;b;rwz;rs;f",1,1,4,2,5,7,7,7,4,5,8,4,7,6,5,6,1,6,4,7,560.31,185.18,103600
simple_spi_orig.bench,613.13,185.99,113405,"st;b;b;rw;rw;rwz;rfz;st;f;f;b;b;rw;f;rfz;f;rw;rs;rs;rfz",5,1,1,2,2,6,8,5,7,7,1,1,2,7,8,7,2,4,4,8,576.68,193.83,111168
simple_spi_orig.bench,613.13,185.99,113405,"st;rwz;rf;rwz;rw;st;b;f;rs;f;f;rwz;b;rf;rfz;f;st;rf;st;st",5,6,3,6,2,5,1,7,4,7,7,6,1,3,8,7,5,3,5,5,558.44,184.67,102672
simple_spi_orig.bench,613.13,185.99,113405,"st;rf;rwz;rf;rf;f;f;rf;rwz;f;rfz;rw;rw;rw;st;rw;f;rfz;rwz;rw",5,3,6,3,3,7,7,3,6,7,8,2,2,2,5,2,7,8,6,2,532.27,201.86,106932
simple_spi_orig.bench,613.13,185.99,113405,"st;rs;rwz;rfz;rw;rfz;rs;rwz;rf;b;f;rf;rfz;f;f;b;f;rs;rwz;st",5,4,6,8,2,8,4,6,3,1,7,3,8,7,7,1,7,4,6,5,534.68,184.36,98256
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;rwz;b;rfz;rfz;rf;rs;rw;f;b;b;b;rwz;f;f;b;rf;rfz;rw",1,8,6,1,8,8,3,4,2,7,1,1,1,6,7,7,1,3,8,2,558.64,200.52,111600
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;rs;rw;f;rf;st;rwz;rs;b;f;rf;b;f;rfz;st;b;rs;b;st",1,6,4,2,7,3,5,6,4,1,7,3,1,7,8,5,1,4,1,5,569.85,196.96,111524
simple_spi_orig.bench,613.13,185.99,113405,"st;rs;b;b;st;rf;rf;st;rwz;rwz;f;rw;rs;f;rfz;rwz;rs;rwz;f;st",5,4,1,1,5,3,3,5,6,6,7,2,4,7,8,6,4,6,7,5,545.22,185.97,100825
simple_spi_orig.bench,613.13,185.99,113405,"b;rf;st;b;rw;rs;rwz;rfz;rs;st;rs;rw;st;rw;b;rwz;rf;rfz;rfz;rw",1,3,5,1,2,4,6,8,4,5,4,2,5,2,1,6,3,8,8,2,564.02,193.72,108852
simple_spi_orig.bench,613.13,185.99,113405,"b;rf;st;b;b;rf;rf;f;rf;rs;b;st;rfz;f;f;rs;st;b;rs;f",1,3,5,1,1,3,3,7,3,4,1,5,8,7,7,4,5,1,4,7,562.13,193.83,108466
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;rs;rwz;rf;st;rs;f;rw;b;b;rs;rw;b;rw;b;rfz;rwz;rf;rf",1,8,4,6,3,5,4,7,2,1,1,4,2,1,2,1,8,6,3,3,530.86,201.86,106530
simple_spi_orig.bench,613.13,185.99,113405,"st;rw;rwz;rfz;f;st;rwz;rs;f;b;st;rwz;rfz;rf;rwz;b;b;rfz;rfz;f",5,2,6,8,7,5,6,4,7,1,5,6,8,3,6,1,1,8,8,7,559.78,182.21,101738
simple_spi_orig.bench,613.13,185.99,113405,"st;f;rfz;b;rwz;rwz;b;rw;b;rfz;st;rwz;rwz;rfz;st;rw;rf;rwz;st;rf",5,7,8,1,6,6,1,2,1,8,5,6,6,8,5,2,3,6,5,3,539.39,183.29,98637
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;st;b;f;rfz;f;st;rw;st;st;rs;rf;rw;rwz;rs;rw;rs;b;rwz",1,6,5,1,7,8,7,5,2,5,5,4,3,2,6,4,2,4,1,6,559.26,184.11,102856
simple_spi_orig.bench,613.13,185.99,113405,"b;rf;rwz;rs;rwz;rwz;rwz;rwz;rwz;st;rwz;rwz;rf;rs;st;rfz;rf;b;rf;st",1,3,6,4,6,6,6,6,6,5,6,6,3,4,5,8,3,1,3,5,570.85,185.52,105450
simple_spi_orig.bench,613.13,185.99,113405,"st;rfz;rfz;b;rw;st;rf;rs;rwz;rs;st;rf;rf;rf;rfz;rfz;rfz;rs;rs;rw",5,8,8,1,2,5,3,4,6,4,5,3,3,3,8,8,8,4,4,2,565.92,203.11,114695
simple_spi_orig.bench,613.13,185.99,113405,"st;rwz;rw;f;rwz;rw;f;rs;b;rf;rw;rwz;rs;b;rfz;b;rw;rf;rwz;rs",5,6,2,7,6,2,7,4,1,3,2,6,4,1,8,1,2,3,6,4,544.73,191.44,103904
simple_spi_orig.bench,613.13,185.99,113405,"st;st;rs;rw;rfz;rfz;f;rf;rwz;b;st;rf;rf;rf;f;b;rfz;rwz;f;f",5,5,4,2,8,8,7,3,6,1,5,3,3,3,7,1,8,6,7,7,548.66,190.25,104120
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;rfz;rf;rs;b;rfz;b;st;f;rs;rs;rw;rs;rs;rf;rw;b;rfz;rwz",1,8,8,3,4,1,8,1,5,7,4,4,2,4,4,3,2,1,8,6,518.90,201.86,104118
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;b;f;rw;rf;b;rfz;rf;rw;st;b;b;rw;rs;st;rw;rs;rwz;rs",1,6,1,7,2,3,1,8,3,2,5,1,1,2,4,5,2,4,6,4,554.22,183.82,101382
simple_spi_orig.bench,613.13,185.99,113405,"b;rs;rf;b;rf;rw;f;rs;rw;f;st;rfz;b;rs;rs;st;st;f;st;rf",1,4,3,1,3,2,7,4,2,7,5,8,1,4,4,5,5,7,5,3,571.14,185.97,105635
simple_spi_orig.bench,613.13,185.99,113405,"st;f;rs;st;rw;f;b;st;b;rf;f;st;rw;rw;rwz;st;st;rf;rw;b",5,7,4,5,2,7,1,5,1,3,7,5,2,2,6,5,5,3,2,1,532.43,185.97,98420
simple_spi_orig.bench,613.13,185.99,113405,"st;rw;rwz;rs;rs;rwz;rwz;b;st;rw;rf;rfz;rw;st;rfz;rwz;st;rwz;rw;st",5,2,6,4,4,6,6,1,5,2,3,8,2,5,8,6,5,6,2,5,570.20,183.29,104310
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;rw;rfz;st;rfz;rf;rf;rf;rf;st;rs;rs;rw;b;rw;b;f;rf;f",1,8,2,8,5,8,3,3,3,3,5,4,4,2,1,2,1,7,3,7,554.22,203.11,112462
simple_spi_orig.bench,613.13,185.99,113405,"b;rs;rs;rs;st;rf;st;f;rf;rwz;rf;rfz;f;rf;b;rf;f;rwz;rs;b",1,4,4,4,5,3,5,7,3,6,3,8,7,3,1,3,7,6,4,1,523.68,185.97,96755
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;rs;b;st;f;rfz;rfz;f;rfz;f;rs;f;rs;rw;rfz;rs;rs;rw;b",1,8,4,1,5,7,8,8,7,8,7,4,7,4,2,8,4,4,2,1,554.20,193.83,106922
simple_spi_orig.bench,613.13,185.99,113405,"st;rwz;rs;rw;rs;b;st;rfz;b;rf;b;rfz;f;f;b;rwz;rf;rwz;st;rwz",5,6,4,2,4,1,5,8,1,3,1,8,7,7,1,6,3,6,5,6,553.18,180.87,99540
simple_spi_orig.bench,613.13,185.99,113405,"b;rw;rf;f;st;f;rfz;f;b;b;b;rwz;rwz;rw;rfz;rf;b;rf;rw;rw",1,2,3,7,5,7,8,7,1,1,1,6,6,2,8,3,1,3,2,2,564.52,185.97,104340
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;rw;rwz;rs;rs;rs;rfz;rfz;rw;st;rs;rf;b;st;rfz;rs;rs;st;rf",1,6,2,6,4,4,4,8,8,2,5,4,3,1,5,8,4,4,5,3,564.98,203.58,114492
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;f;rs;rfz;rw;rw;rfz;b;rwz;rw;rf;rwz;rw;rw;rwz;st;rs;rfz;rfz",1,8,7,4,8,2,2,8,1,6,2,3,6,2,2,6,5,4,8,8,537.03,203.11,109011
simple_spi_orig.bench,613.13,185.99,113405,"b;rw;rw;b;rw;rwz;rw;b;rwz;rf;b;rfz;rs;rwz;rwz;rwz;f;rw;rf;rs",1,2,2,1,2,6,2,1,6,3,1,8,4,6,6,6,7,2,3,4,559.77,181.94,101179
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;rf;rs;rs;f;rs;rs;b;rwz;rwz;rw;rw;st;f;rf;st;f;rfz;rw",1,6,3,4,4,7,4,4,1,6,6,2,2,5,7,3,5,7,8,2,577.89,184.34,106168
simple_spi_orig.bench,613.13,185.99,113405,"st;rfz;rw;rf;rw;f;f;f;f;b;rw;rfz;rwz;rw;f;rfz;f;f;rwz;rs",5,8,2,3,2,7,7,7,7,1,2,8,6,2,7,8,7,7,6,4,533.73,185.29,98605
simple_spi_orig.bench,613.13,185.99,113405,"b;rf;st;rf;st;rfz;f;f;rfz;rw;rs;st;rwz;f;b;rf;f;rw;rwz;b",1,3,5,3,5,8,7,7,8,2,4,5,6,7,1,3,7,2,6,1,525.54,202.19,106050
simple_spi_orig.bench,613.13,185.99,113405,"b;f;st;rf;st;rwz;rf;st;f;rwz;rw;rwz;f;rf;rw;rfz;rs;rfz;b;rs",1,7,5,3,5,6,3,5,7,6,2,6,7,3,2,8,4,8,1,4,548.41,202.36,110696
simple_spi_orig.bench,613.13,185.99,113405,"b;f;rw;b;rs;rfz;f;rf;rs;f;rw;f;rwz;rf;rwz;b;rw;rf;rw;f",1,7,2,1,4,8,7,3,4,7,2,7,6,3,6,1,2,3,2,7,538.07,180.87,96840
simple_spi_orig.bench,613.13,185.99,113405,"st;rwz;f;rwz;b;st;rwz;b;rw;rs;f;f;st;rs;rwz;rw;rw;b;f;rfz",5,6,7,6,1,5,6,1,2,4,7,7,5,4,6,2,2,1,7,8,578.30,192.61,110976
simple_spi_orig.bench,613.13,185.99,113405,"st;f;rw;rfz;rwz;f;st;f;st;b;b;st;st;rw;rfz;rwz;rfz;rw;f;rw",5,7,2,8,6,7,5,7,5,1,1,5,5,2,8,6,8,2,7,2,551.10,183.82,100833
simple_spi_orig.bench,613.13,185.99,113405,"st;f;rw;rfz;rs;rwz;st;rwz;rf;rs;st;st;rwz;rw;rwz;b;rfz;f;rw;f",5,7,2,8,4,6,5,6,3,4,5,5,6,2,6,1,8,7,2,7,563.25,193.19,108659
simple_spi_orig.bench,613.13,185.99,113405,"st;rs;rs;rf;rs;rfz;rwz;rwz;rs;st;b;rw;rwz;rwz;rf;rf;f;st;st;st",5,4,4,3,4,8,6,6,4,5,1,2,6,6,3,3,7,5,5,5,533.84,185.18,98605
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;rfz;rs;b;rs;rw;rwz;f;rfz;rf;f;st;rs;rf;rs;rfz;rwz;rw;rs",1,6,8,4,1,4,2,6,7,8,3,7,5,4,3,4,8,6,2,4,546.89,184.11,100464
simple_spi_orig.bench,613.13,185.99,113405,"st;rs;rs;rwz;rw;f;b;f;rfz;b;b;b;st;b;f;rwz;rwz;rs;st;f",5,4,4,6,2,7,1,7,8,1,1,1,5,1,7,6,6,4,5,7,535.92,183.49,97905
simple_spi_orig.bench,613.13,185.99,113405,"b;rfz;rwz;rw;rs;f;f;b;rfz;rf;rwz;rs;rf;rwz;f;rw;b;rs;rs;rs",1,8,6,2,4,7,7,1,8,3,6,4,3,6,7,2,1,4,4,4,541.21,194.45,104954
simple_spi_orig.bench,613.13,185.99,113405,"st;rfz;rf;f;b;rw;f;rw;rw;b;rf;b;rw;b;rf;rf;b;b;f;b",5,8,3,7,1,2,7,2,2,1,3,1,2,1,3,3,1,1,7,1,565.06,200.18,113000
simple_spi_orig.bench,613.13,185.99,113405,"b;rf;f;rw;rwz;rs;b;rw;rf;b;st;rs;rs;rwz;b;rw;rw;st;rs;rs",1,3,7,2,6,4,1,2,3,1,5,4,4,6,1,2,2,5,4,4,534.89,201.86,107334
simple_spi_orig.bench,613.13,185.99,113405,"st;f;b;b;rs;rf;f;rw;rwz;f;st;st;rw;rs;f;st;f;f;rfz;b",5,7,1,1,4,3,7,2,6,7,5,5,2,4,7,5,7,7,8,1,555.24,200.52,111000
simple_spi_orig.bench,613.13,185.99,113405,"st;rf;f;f;rs;st;b;rwz;b;rs;rwz;rw;rf;rs;f;rs;rfz;rfz;rw;rf",5,3,7,7,4,5,1,6,1,4,6,2,3,4,7,4,8,8,2,3,545.19,190.78,103550
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;st;st;rs;f;rs;rfz;rs;st;rfz;f;rs;f;rwz;rw;rf;rf;rfz;rfz",1,6,5,5,4,7,4,8,4,5,8,7,4,7,6,2,3,3,8,8,566.46,190.91,107540
simple_spi_orig.bench,613.13,185.99,113405,"st;b;f;rfz;st;rfz;rfz;rw;f;b;rs;rs;rf;rf;rf;st;rs;rfz;rwz;rfz",5,1,7,8,5,8,8,2,7,1,4,4,3,3,3,5,4,8,6,8,555.80,194.14,107670
simple_spi_orig.bench,613.13,185.99,113405,"st;st;rfz;rwz;rs;f;rs;st;rwz;rw;rs;rfz;rw;rfz;f;st;rf;rw;rf;rw",5,5,8,6,4,7,4,5,6,2,4,8,2,8,7,5,3,2,3,2,547.27,203.11,111041
simple_spi_orig.bench,613.13,185.99,113405,"st;rs;rwz;st;rf;rwz;rw;b;rs;b;rw;rfz;rw;rs;rf;rw;st;b;b;f",5,4,6,5,3,6,2,1,4,1,2,8,2,4,3,2,5,1,1,7,564.30,184.34,103776
simple_spi_orig.bench,613.13,185.99,113405,"b;rw;rwz;st;f;rf;rf;f;st;rs;rfz;rf;rf;st;rwz;f;rw;rs;rf;rfz",1,2,6,5,7,3,3,7,5,4,8,3,3,5,6,7,2,4,3,8,594.58,189.28,112266
simple_spi_orig.bench,613.13,185.99,113405,"b;b;rs;rfz;rfz;rwz;rw;st;rw;rfz;rs;rfz;rs;f;f;f;rw;rfz;f;st",1,1,4,8,8,6,2,5,2,8,4,8,4,7,7,7,2,8,7,5,566.96,185.97,104710
simple_spi_orig.bench,613.13,185.99,113405,"st;rwz;rwz;rs;rw;f;rf;rf;rs;b;rs;rs;rs;st;f;b;rwz;f;b;f",5,6,6,4,2,7,3,3,4,1,4,4,4,5,7,1,6,7,1,7,546.07,202.36,110292
simple_spi_orig.bench,613.13,185.99,113405,"st;rf;rwz;b;rfz;rw;rwz;rw;rfz;rfz;b;rs;b;f;b;rf;rs;rfz;rw;rf",5,3,6,1,8,2,6,2,8,8,1,4,1,7,1,3,4,8,2,3,557.54,201.86,111957
simple_spi_orig.bench,613.13,185.99,113405,"st;rw;rfz;rf;rf;f;rfz;st;rw;b;b;rfz;f;st;st;rwz;rw;f;f;rf",5,2,8,3,3,7,8,5,2,1,1,8,7,5,5,6,2,7,7,3,528.60,183.82,96624
simple_spi_orig.bench,613.13,185.99,113405,"b;b;st;rfz;rwz;rs;b;st;rs;rs;f;rs;b;rw;st;rw;rfz;rf;b;rf",1,1,5,8,6,4,1,5,4,4,7,4,1,2,5,2,8,3,1,3,564.47,196.63,110544
simple_spi_orig.bench,613.13,185.99,113405,"st;rw;rw;rw;rw;rwz;rf;rs;rf;b;b;b;b;st;rf;rw;rs;f;b;rwz",5,2,2,2,2,6,3,4,3,1,1,1,1,5,3,2,4,7,1,6,561.69,183.29,102663
simple_spi_orig.bench,613.13,185.99,113405,"st;f;st;rwz;b;rs;rfz;f;rs;rw;f;rw;rs;st;b;rw;rf;rfz;rf;b",5,7,5,6,1,4,8,7,4,2,7,2,4,5,1,2,3,8,3,1,551.25,193.83,106343
simple_spi_orig.bench,613.13,185.99,113405,"b;f;rwz;rf;st;rs;rw;rwz;f;b;rw;b;b;rs;f;st;rs;f;rwz;rfz",1,7,6,3,5,4,2,6,7,1,2,1,1,4,7,5,4,7,6,8,560.66,183.82,102480
simple_spi_orig.bench,613.13,185.99,113405,"b;rwz;f;rf;rfz;rf;rw;rw;st;f;rfz;f;f;rwz;rwz;rwz;st;rwz;st;b",1,6,7,3,8,3,2,2,5,7,8,7,7,6,6,6,5,6,5,1,552.16,180.87,99360
