b; rf; f; rfz; rs; f; rfz; st; f; rs; rfz; rf; rfz; rw; rwz; rs; rwz; rw; b; b;
b; rs; rs; b; st; rwz; b; rfz; st; rwz; b; rfz; rf; rw; rf; rf; rf; rs; rwz; rw;
st; f; rw; rf; f; b; st; rwz; st; rw; rs; f; rwz; rs; rwz; rs; st; rs; rs; b;
st; rfz; rw; b; st; rwz; st; rwz; b; rw; f; rw; f; st; rwz; rw; st; st; rw; rs;
b; rwz; rwz; rw; rw; rs; f; f; f; st; b; rw; rfz; f; b; rwz; rfz; rw; f; f;
b; rwz; rw; b; st; rw; f; b; rf; b; rs; rf; rf; st; rs; rfz; rf; rwz; rfz; rf;
st; rw; rfz; f; rfz; st; st; rf; st; rw; st; rw; f; f; f; rw; rwz; rw; f; st;
b; st; f; st; rs; rwz; rf; rs; rfz; rwz; f; f; st; rf; f; b; rw; rf; b; f;
st; rf; rwz; b; rs; b; rs; rwz; rs; st; rfz; rf; rf; b; f; rf; rf; rfz; rw; rw;
b; f; rfz; rw; rs; rfz; rs; rfz; st; b; rf; rs; b; rs; st; rw; rwz; rwz; rs; rs;
b; b; b; rwz; st; rwz; f; rs; rwz; rwz; rwz; rw; rf; rf; st; rwz; rw; rw; b; rfz;
b; rs; rf; f; b; rfz; b; b; rs; b; rfz; f; rf; rf; rw; rwz; rwz; rs; rs; f;
b; rwz; rfz; rwz; b; rwz; rf; b; rwz; rw; f; rfz; rs; rs; st; rw; b; rf; st; rf;
b; rw; rfz; rw; rfz; rs; f; f; f; b; rf; st; rfz; rs; rwz; rw; f; f; rw; f;
b; rw; rw; st; rfz; rs; b; rw; b; rwz; rf; f; rf; rw; rw; rf; rwz; rfz; b; b;
b; f; rf; rw; rs; rs; rwz; b; st; rwz; rf; b; rw; b; rs; rw; rwz; rwz; rw; rw;
b; rfz; rfz; rw; rwz; b; b; rfz; rwz; rw; rwz; f; rw; rfz; f; rwz; rw; rf; rwz; st;
b; rwz; rw; rwz; st; st; rf; b; rwz; rwz; f; rs; rw; rwz; st; st; rwz; rwz; rw; b;
b; rwz; b; rfz; rwz; rfz; rfz; rf; rs; rwz; f; rwz; rf; rwz; f; st; rs; rwz; st; st;
st; f; st; f; rfz; b; rfz; rw; f; rs; rw; rw; rwz; rw; b; b; rf; b; st; f;
b; f; b; rwz; rs; rfz; f; rw; rw; rf; st; rwz; st; rs; f; rwz; b; b; rwz; rfz;
b; rs; rw; rs; f; rfz; st; rw; rs; rfz; b; rw; f; b; rs; rwz; rf; b; rf; rwz;
b; rf; b; rfz; rf; st; rs; b; f; b; b; rfz; b; rw; rwz; rf; rf; f; rf; f;
b; rwz; f; rw; rf; rfz; st; st; rw; rs; rw; rs; rf; rs; rf; b; rw; b; rw; b;
b; st; rfz; rwz; f; st; rf; b; rfz; f; st; rw; rfz; rs; st; rf; rwz; rfz; rs; rw;
st; b; rwz; rfz; b; b; rwz; rs; rwz; b; b; rwz; rwz; st; rs; rfz; rf; b; rw; rw;
st; rfz; f; rwz; rw; rw; st; rs; rw; rw; rs; rfz; st; rw; f; rwz; st; rs; st; rf;
b; b; b; rw; rwz; rw; rs; rw; rs; b; b; rfz; rwz; rwz; st; rf; rwz; rs; rw; rf;
st; rwz; f; rwz; st; rfz; rw; st; rwz; st; f; rwz; b; f; rs; rs; rf; f; rf; rs;
b; rfz; st; rwz; rwz; rs; rw; st; st; rf; rfz; rs; st; b; rwz; b; rs; rwz; rw; rw;
st; f; rs; rfz; f; b; rw; rs; rs; rs; rw; rs; rf; f; st; rfz; rfz; b; b; rf;
st; st; rfz; rs; rf; rf; st; rf; f; b; f; rs; rf; b; rs; rf; f; rwz; f; b;
b; rwz; f; rwz; rw; rfz; rs; b; rw; rf; f; b; st; rw; st; rfz; b; b; rwz; rs;
st; f; st; rf; rf; b; rwz; rwz; f; rwz; rwz; st; rs; rs; rf; st; rwz; rwz; b; b;
b; rs; f; rfz; rs; rs; st; f; rf; rwz; rfz; rw; rfz; st; rs; rf; rwz; rf; b; rw;
b; rf; rf; f; rw; rwz; st; rfz; rfz; b; st; f; st; b; rf; f; rs; rwz; rs; st;
b; f; rfz; f; st; rfz; rs; rf; st; f; rfz; f; b; rfz; rs; b; rwz; rw; rs; f;
b; b; rwz; f; rs; rw; st; st; rfz; st; rs; rs; rw; rf; rw; rw; rwz; rs; rwz; f;
st; rwz; b; f; rw; b; rwz; rw; rfz; rs; rwz; b; f; rfz; st; rfz; st; f; rf; b;
st; rw; rfz; b; rs; st; f; b; f; rfz; rw; st; st; rwz; f; rf; rw; rwz; rwz; f;
b; rfz; rwz; rwz; rfz; rs; rf; rwz; rw; rwz; rw; b; f; rfz; rs; rf; f; rfz; f; rs;
st; rfz; rfz; rf; rs; rf; f; rwz; rw; rw; rfz; rwz; f; f; b; rs; f; f; f; rwz;
st; rs; f; st; st; f; st; rw; f; rwz; rwz; rwz; rfz; rwz; rfz; b; st; f; b; rwz;
b; b; f; rf; b; f; st; rfz; rwz; rf; rf; rfz; rw; rw; rfz; rf; rfz; rw; rf; f;
st; rs; rs; rs; rf; rw; rwz; rfz; rfz; st; rfz; rfz; st; rf; rs; rf; st; rf; b; rwz;
st; rw; rwz; st; rw; rwz; rf; b; rfz; rf; rfz; rs; rf; f; b; st; b; b; rfz; b;
st; rw; rs; rs; f; rwz; rs; rwz; rw; rwz; f; b; rwz; st; rs; rw; rfz; rw; b; rw;
st; b; rw; rwz; rfz; rfz; b; b; f; rs; rfz; rwz; rwz; f; b; f; rwz; f; rwz; rs;
st; b; b; rf; rs; rwz; b; rw; rfz; st; b; rwz; b; rs; rwz; st; b; b; rfz; rf;
st; rwz; f; rf; rs; b; rw; rwz; rwz; rs; rfz; rs; st; rf; rf; f; rfz; rw; b; rw;
st; st; b; rf; rwz; rw; b; rfz; rw; st; rwz; b; rs; f; rw; f; rwz; rf; b; rs;
st; rf; rw; b; b; f; rf; rs; rfz; rfz; rw; rw; rwz; rf; rw; st; rf; f; rwz; rfz;
st; rfz; rf; rs; st; rf; f; f; rf; rs; rw; rw; rfz; rs; st; rwz; b; rs; rf; rs;
b; rs; rwz; b; b; rf; b; b; rfz; f; rs; rf; rwz; st; rw; st; f; b; b; b;
b; rs; rf; rwz; b; st; b; f; b; st; b; rwz; f; rwz; rf; f; rwz; rf; rwz; rw;
b; rs; rs; rf; st; rw; st; rf; rfz; rs; f; b; st; st; rs; b; f; rfz; rwz; b;
st; rw; f; rw; st; rfz; rfz; b; st; f; rs; rfz; f; f; b; rf; rwz; st; rf; rwz;
st; rwz; rs; rwz; rs; f; st; rw; rwz; b; rwz; st; st; b; rf; f; st; rf; rs; b;
st; rwz; st; f; rf; rwz; rw; rfz; rf; st; rwz; rwz; st; rwz; st; rfz; rwz; rfz; rw; f;
b; rf; rs; rs; rs; rfz; b; rw; rf; rw; f; rw; rfz; f; rfz; rf; rwz; f; st; rwz;
st; f; b; rf; rf; f; rfz; rf; rw; rw; rs; f; rf; rwz; rfz; rw; rwz; st; rw; rf;
b; f; f; st; rfz; f; rw; b; rw; rwz; rs; rf; rs; b; st; st; rw; rf; f; rw;
b; f; rwz; rfz; rs; f; rw; rwz; rwz; rs; b; rw; st; rfz; rfz; rw; b; st; rf; st;
b; rfz; rs; st; rs; rs; b; b; rs; rf; b; st; rwz; rfz; rwz; st; st; f; rs; f;
st; f; b; rwz; b; rf; f; b; rwz; f; rs; b; rs; f; rs; st; rwz; rwz; rs; rfz;
st; rw; rs; b; st; f; rf; rs; rf; rf; b; rf; rw; rs; rs; st; b; st; b; rfz;
b; rf; rwz; b; rfz; b; b; b; rw; rfz; rfz; rf; f; rfz; f; rfz; rf; rfz; f; rf;
st; b; rfz; rw; st; rfz; rf; st; rf; f; rw; rfz; rfz; st; f; rw; rfz; rwz; rfz; rf;
st; f; rs; rs; rs; rw; rw; rf; rf; rw; rwz; rwz; b; st; rs; rw; rs; f; rf; rfz;
b; rfz; rfz; rfz; f; f; rfz; f; b; rfz; b; rfz; b; rf; b; f; b; rf; f; rs;
st; f; rs; rw; rwz; rfz; rwz; rfz; st; rwz; rw; rs; rs; st; rw; rs; rf; rwz; b; rfz;
st; rfz; rs; b; b; b; f; rw; rw; st; b; rw; b; rfz; st; st; rf; st; b; f;
b; f; rwz; f; st; rfz; rs; b; st; rs; b; rfz; rs; rw; rwz; rwz; rw; rwz; st; f;
b; rs; rfz; rwz; rw; b; st; rf; rw; rfz; rf; rf; rfz; rs; f; rs; rwz; b; st; rwz;
b; f; f; st; rf; rfz; f; b; rw; rf; rw; rwz; rf; rw; rs; f; rfz; rwz; rw; rwz;
b; rf; rs; b; rwz; st; rw; rs; f; rwz; b; f; rwz; rw; rs; rs; rwz; rs; rfz; rw;
b; rfz; rf; rf; rs; rw; rf; f; rf; rw; f; rfz; st; rs; b; rf; st; rfz; b; rw;
st; b; rf; rf; rfz; rwz; rwz; rfz; rf; rs; rf; b; rs; rwz; f; st; rw; f; b; rfz;
b; rwz; rs; rf; rf; rfz; f; rw; rwz; rfz; rs; rs; rf; st; f; rs; rwz; rf; rwz; rw;
b; f; rw; rs; rwz; st; f; rs; rs; rs; rw; rw; rs; st; st; rw; rf; f; st; st;
st; st; rw; b; rfz; rwz; rw; rw; rfz; rw; b; rwz; rw; rw; rf; st; st; f; st; rw;
st; f; f; b; f; rwz; rs; rs; rwz; rw; rs; f; rw; rfz; rf; rwz; rf; rwz; rs; b;
st; rs; rfz; rs; rw; rs; rw; st; b; rwz; rw; rs; b; f; rs; st; rfz; rwz; rwz; b;
st; rf; rfz; st; st; rs; st; rfz; rf; rf; rw; rfz; f; f; rs; rwz; f; b; rf; f;
b; rs; rwz; b; f; b; rfz; b; st; rs; f; rwz; rw; rf; rf; rw; rs; rf; rwz; rwz;
b; f; rs; rwz; st; f; rw; rwz; st; rwz; rf; rf; rwz; st; rwz; st; rfz; st; rwz; rw;
b; rwz; st; rf; rf; rfz; rwz; rw; rw; b; st; rwz; rs; b; rwz; rw; st; b; rs; b;
st; f; st; f; rf; rw; rs; st; st; b; rwz; st; rw; b; rs; rw; rs; rw; rfz; rwz;
st; rs; b; rw; f; rwz; st; st; st; rw; rs; st; f; st; rf; st; st; f; st; rf;
b; f; rf; f; st; rfz; rwz; f; rw; rf; rf; b; f; f; b; rs; rwz; rf; rfz; rw;
st; st; st; rf; rw; rf; st; rfz; f; b; rwz; rwz; rs; rs; rwz; rs; rfz; rw; rfz; b;
b; rf; f; rwz; b; rw; rf; f; f; rfz; rwz; rfz; f; rf; rs; rfz; rs; rs; b; b;
st; f; rs; rwz; rs; rf; rw; rf; f; b; b; st; rs; f; st; rfz; rs; rs; rw; rwz;
b; rw; b; rf; rs; rw; b; rs; rs; rfz; rw; st; rwz; st; st; rw; f; rs; rfz; rfz;
b; st; f; rw; rwz; rfz; st; f; rwz; rfz; rfz; rfz; rf; b; b; rf; rwz; rwz; b; rw;
b; rfz; rf; rwz; rwz; b; rf; rf; b; st; b; f; rw; st; rs; rfz; rwz; f; rfz; rf;
b; rs; rs; b; rw; b; rfz; rf; rw; rfz; rwz; f; rw; rw; rw; st; b; rs; rw; rs;
b; b; st; st; rw; b; rwz; rw; f; rf; rs; st; rwz; rf; f; rwz; st; rfz; st; rs;
b; rwz; rs; rs; f; rw; f; b; rwz; rfz; rwz; rfz; rf; b; st; rs; f; st; rwz; rfz;
b; st; rf; rw; rw; st; b; f; b; st; rw; rs; rfz; rf; rw; rw; rwz; rs; rwz; st;
st; rw; b; rf; rfz; rf; f; rs; rfz; b; rwz; st; f; st; rfz; rs; st; rf; f; rfz;
st; f; rs; rs; rw; rf; rwz; rs; b; rwz; rfz; rw; rwz; st; rwz; st; rfz; rwz; rf; f;
st; b; rf; rs; b; st; st; rw; b; st; b; f; rf; f; st; f; rs; rwz; rfz; b;
b; rfz; rs; rw; st; f; rw; rf; rwz; f; rwz; b; st; st; b; f; rfz; rw; rfz; rf;
b; st; rf; rwz; b; b; rwz; rs; st; f; rf; rwz; f; rwz; f; rw; b; st; rwz; f;
st; rf; f; f; rwz; f; f; f; rw; b; rwz; st; st; b; st; st; rf; f; rs; rw;
b; rwz; rwz; rw; b; rw; rs; b; st; rw; f; b; rfz; rwz; st; rfz; rfz; b; rs; b;
b; st; rf; rs; rwz; st; rw; rw; f; rf; rs; rw; b; rwz; rf; rs; st; rs; rwz; b;
b; rs; rwz; rw; rf; b; rwz; rw; rs; rw; f; st; rf; rwz; rw; rf; rwz; rs; f; rwz;
st; rwz; rf; st; f; f; rf; rs; rs; b; rf; st; rwz; rw; f; f; st; rf; st; rfz;
st; rf; rs; rs; b; rfz; rf; rf; f; rw; st; rf; rfz; rw; st; rs; f; rf; rs; rwz;
st; rf; rs; rw; rf; rwz; rwz; st; rwz; st; b; rwz; b; b; rs; b; rfz; f; st; rfz;
b; rf; f; b; rs; f; rs; f; rfz; rf; b; rs; b; b; b; rs; rfz; rf; f; b;
st; rfz; rf; b; rfz; b; rwz; rs; rf; rf; rwz; rs; rf; st; rw; rw; st; rfz; rf; rs;
st; rs; rwz; b; rwz; rw; rs; rfz; rf; f; rwz; rfz; st; rs; rs; rs; f; rs; rfz; st;
st; f; st; rf; st; st; rfz; rfz; rwz; rs; rs; b; rw; rw; st; rwz; rw; rfz; rfz; rfz;
b; rf; rw; f; rw; f; f; b; rfz; rw; b; rw; rs; rf; rwz; st; b; rs; rs; f;
st; rwz; rwz; rfz; st; rs; st; rfz; rfz; rf; rs; rs; rf; f; rw; f; b; b; rw; rf;
st; rfz; rfz; st; f; st; rw; rwz; rfz; rw; rwz; st; rfz; rf; rw; rfz; rwz; rw; rs; rf;
b; rf; f; st; st; rwz; rf; f; rw; rwz; rs; st; rfz; st; b; st; rwz; rw; rwz; st;
st; b; f; rs; rwz; rfz; rf; rw; rw; st; rf; st; rw; b; rw; rf; f; rwz; rs; rfz;
st; st; st; rwz; rf; st; st; rwz; rf; f; st; f; rfz; rw; st; f; rw; b; st; rs;
b; b; rwz; rfz; b; b; rs; rs; rw; rfz; st; rfz; rw; rfz; rwz; rwz; st; rwz; st; rw;
st; b; rs; rwz; rf; rfz; f; rs; rwz; rwz; st; f; st; rs; b; rfz; rw; rwz; rs; rfz;
b; rw; rf; rs; f; st; rwz; rwz; st; rw; f; st; st; rw; st; b; b; rwz; rwz; rs;
b; rw; rs; rfz; st; f; rwz; f; rf; rs; rs; rfz; rw; b; rs; rw; rf; rw; st; rfz;
st; rf; st; rf; rf; rfz; rs; rwz; rw; rfz; f; b; rs; st; st; rw; f; rw; rw; st;
st; rf; st; rs; f; st; rs; rwz; st; rfz; rf; rw; st; rw; rs; rwz; rfz; rs; f; rfz;
b; st; rw; rwz; f; st; b; rwz; rwz; rfz; rfz; f; st; rfz; rf; rf; b; rs; f; rf;
b; rw; st; rwz; b; rf; rfz; rs; rs; rf; st; rwz; f; f; rf; rf; rwz; rwz; f; b;
st; rfz; f; rw; rfz; st; rwz; st; rwz; rs; rs; b; rfz; rw; b; rwz; rw; f; rwz; st;
st; st; rwz; rs; rw; b; rfz; rfz; rw; b; rw; st; rwz; f; rf; rwz; rfz; b; rfz; st;
st; rf; rfz; st; f; rwz; rfz; rs; rs; rfz; rs; rwz; rs; rs; rwz; st; rfz; rf; rf; rfz;
b; rf; rf; rw; rf; b; b; b; f; st; st; rwz; st; b; rfz; rs; f; rwz; rs; rfz;
b; st; f; rwz; rf; f; rw; st; b; rs; st; f; rw; f; rs; f; b; rs; rw; rw;
b; f; st; rfz; b; st; f; rf; rs; rf; rs; f; rf; rs; b; rs; rs; rs; rf; rwz;
st; rf; rf; rs; rfz; rs; rfz; rwz; f; b; rs; rfz; rfz; rs; rw; rf; rfz; st; rf; f;
b; rfz; rf; rf; rfz; rfz; f; rw; st; st; rwz; rw; rw; st; rfz; st; f; rwz; rf; st;
b; rs; rs; b; rfz; rf; rfz; st; rw; rwz; rwz; st; rfz; rs; rs; rs; rwz; rs; rs; rwz;
st; rf; b; rw; rf; b; rs; b; rf; st; rw; st; b; rs; rs; rs; rwz; rw; rs; rwz;
st; rw; b; rf; f; rs; st; rs; rw; rs; rwz; rf; rwz; rwz; rf; rw; rwz; b; b; rw;
b; rs; rf; rfz; rwz; b; rfz; f; rf; st; rfz; rf; rs; f; st; rf; f; rfz; rwz; f;
st; b; f; rwz; rwz; rfz; b; f; st; rfz; f; f; f; rw; st; rwz; f; f; rs; rwz;
b; rs; st; f; rf; rs; rfz; st; rf; rfz; rfz; st; rwz; st; rwz; rfz; rs; f; rs; rfz;
st; rw; f; rwz; st; rwz; st; b; rs; f; rwz; rwz; rs; rwz; f; b; rwz; st; f; rw;
b; rwz; rs; st; st; f; rw; b; f; rf; rs; rs; rs; rw; st; f; st; b; rwz; st;
st; rs; f; rfz; rs; f; rfz; f; rwz; rf; rs; rw; rfz; rf; rfz; rwz; rwz; b; rwz; rw;
st; rfz; b; st; f; rw; b; rs; b; f; rwz; rfz; rs; b; rw; f; b; rs; b; b;
st; rs; rf; rs; rwz; f; rf; f; rwz; rw; rwz; rfz; st; st; b; rwz; b; rwz; rw; rwz;
b; rw; rw; rwz; rfz; rf; rf; rs; b; st; b; f; f; rw; rfz; rfz; rf; rw; f; b;
st; rs; f; rfz; b; rw; b; rw; rs; b; rf; f; rf; rf; f; rfz; b; st; b; rs;
st; rw; rw; rwz; st; rw; rf; st; rs; b; f; rw; rwz; rw; rw; rwz; f; b; rs; st;
st; rwz; rfz; rs; f; rs; rwz; rwz; rf; rs; rf; rs; st; rwz; b; rw; st; b; f; rs;
st; f; rs; rfz; rw; b; rfz; rfz; rwz; rf; rwz; rfz; f; b; f; rs; rw; rwz; rs; rw;
b; rs; rw; rw; rw; rf; rwz; rf; f; rw; rw; b; rwz; f; rf; rwz; st; rw; rw; f;
st; rf; f; b; f; st; f; rfz; rwz; rf; st; rfz; st; st; st; rwz; st; f; rfz; rwz;
st; rs; rfz; b; rw; st; rf; st; rf; rfz; rs; rw; b; st; rw; st; rs; st; rfz; rwz;
b; b; rfz; rs; rw; rfz; st; rwz; rf; b; rfz; rf; b; rs; rw; b; rw; f; rf; rfz;
b; rfz; b; st; rwz; rfz; rs; rfz; f; rwz; rwz; b; f; rs; rw; f; f; rfz; rs; rs;
b; st; rw; f; rwz; b; rw; st; rfz; rf; rw; rf; b; b; b; rw; f; rw; rfz; st;
b; st; rf; rwz; rw; rs; rw; rw; rwz; st; b; rwz; rwz; f; f; rfz; rw; rw; rwz; rfz;
b; rs; f; st; rwz; f; b; rf; rf; rf; rwz; st; f; rs; rf; rwz; st; rw; rfz; rwz;
st; rs; rwz; rs; rf; rfz; rwz; rwz; st; rf; f; rfz; rfz; b; rw; f; rs; f; st; rfz;
b; rfz; rw; rfz; b; f; rfz; f; b; rwz; rwz; st; rs; rs; f; rfz; b; f; st; rw;
st; rfz; b; f; rwz; f; rfz; f; f; rf; rs; rf; b; rs; rfz; b; rw; f; rwz; st;
b; f; st; rfz; b; rwz; rwz; rwz; rs; rs; b; rwz; rfz; b; st; rfz; b; rs; rwz; rwz;
st; rwz; f; b; st; st; f; rfz; rs; st; rw; rwz; b; f; st; b; rfz; rs; rs; rw;
st; f; b; rfz; rfz; rs; rs; rs; f; rwz; rwz; rwz; rwz; rf; rw; rs; rwz; rfz; rf; rw;
st; rf; st; f; rw; b; rfz; st; b; rfz; rs; rwz; f; rfz; b; f; rwz; rwz; rw; st;
st; rfz; st; rwz; rf; rf; st; rw; rs; rw; rf; rf; st; rs; rs; rfz; b; f; st; rs;
b; f; rs; f; rw; st; f; f; rw; rw; rfz; f; rfz; b; rw; rf; rw; b; rs; b;
st; f; rs; rw; rs; b; f; f; rfz; b; f; rs; b; rwz; rfz; rs; st; rf; b; rs;
st; rfz; rw; rwz; rwz; rwz; rfz; rwz; rf; rfz; rf; f; rf; rfz; rfz; st; rs; f; rw; rw;
b; f; rw; rfz; rf; b; st; f; rw; rs; f; rw; b; rw; b; rf; rs; f; rs; b;
st; rfz; rs; b; rf; b; rfz; f; f; rwz; rw; b; rf; rw; st; rs; b; f; rwz; f;
b; rs; rw; rfz; f; rs; rw; b; f; b; rf; rf; rs; rf; rw; st; b; f; b; rs;
st; rf; rw; f; b; rs; b; b; rwz; b; rwz; f; rwz; rfz; b; rwz; f; st; rs; f;
b; rw; rw; rw; rf; st; b; rf; rwz; f; rf; rf; rwz; rw; rwz; rs; b; rw; rs; rfz;
b; rw; rfz; rwz; rs; rfz; rwz; b; rw; rfz; rf; f; rwz; rfz; rs; rs; b; f; b; rwz;
st; rw; rf; st; rw; rf; rwz; rs; b; rw; rwz; st; rfz; f; rs; st; rs; rf; rs; st;
b; rs; st; rw; st; rf; rs; rwz; rfz; st; f; st; rfz; rs; rs; st; rwz; st; rw; f;
st; rf; rfz; rs; rwz; st; b; rfz; f; rf; rf; rf; rf; rs; f; st; rw; st; st; rs;
